Dependency check OK
================================================================================
LLM TRAINING DATA PREP
================================================================================
Input file   : /beegfs/home/users/j/jana.wue/work/masterthesis/data/processed/MCAR/german_credit_mcar_billamt1_10pct.csv
Mechanism    : MCAR
Target column: BILL_AMT1
Examples     : 27000
Output file  : /beegfs/home/users/j/jana.wue/work/masterthesis/data/processed/llm/MCAR/german_credit_mcar_billamt1_10pct__target_BILL_AMT1_train.jsonl

================================================================================
PREP SUMMARY
================================================================================
Input files processed: 1
Rows in manifest     : 1
Status counts        : {'prepared': 1}
Manifest written     : /beegfs/home/users/j/jana.wue/work/masterthesis/data/processed/llm/prepare_manifest.csv
================================================================================
LOADING TRAINING DATA
================================================================================
Loaded examples total: 27000
Using training examples: 27000

================================================================================
FIRST FORMATTED EXAMPLE
================================================================================
<s>[INST] Impute the missing target value for this record.

Target column: BILL_AMT1
Target distribution summary (observed rows):
- min: -165580
- q1: 3556
- median: 22459.5
- q3: 67124.75
- max: 964511
- mean: 51430.001704

Observed feature values:
LIMIT_BAL: 210000
SEX: 2
EDUCATION: 1
MARRIAGE: 2
AGE: 40
PAY_0: 0
PAY_2: 0
PAY_3: 0
PAY_4: 0
PAY_5: 0
PAY_6: 0
BILL_AMT2: 156015
BILL_AMT3: 150349
BILL_AMT4: 147788
BILL_AMT5: 145958
BILL_AMT6: 145667
PAY_AMT1: 5500
PAY_AMT2: 7000
PAY_AMT3: 6693
PAY_AMT4: 5307
PAY_AMT5: 5441
PAY_AMT6: 5463
default payment next month: 0

Here are the output constraints:
- Return exactly one number.
- No words, no units, no commas, no explanation, no markdown.
Imputed value:[/INST] 160161</s>

================================================================================
TOKENIZING DATA
================================================================================

================================================================================
LOADING MODEL
================================================================================
trainable params: 671,088,640 || all params: 7,919,112,192 || trainable%: 8.4743

================================================================================
START TRAINING
================================================================================
{'loss': '0.6401', 'grad_norm': '1.627', 'learning_rate': '4.999e-05', 'epoch': '0.0003704'}
{'loss': '0.3153', 'grad_norm': '0.4614', 'learning_rate': '4.999e-05', 'epoch': '0.0007407'}
{'loss': '0.2757', 'grad_norm': '0.4048', 'learning_rate': '4.998e-05', 'epoch': '0.001111'}
{'loss': '0.2628', 'grad_norm': '0.4251', 'learning_rate': '4.998e-05', 'epoch': '0.001481'}
{'loss': '0.2981', 'grad_norm': '1.066', 'learning_rate': '4.997e-05', 'epoch': '0.001852'}
{'loss': '0.306', 'grad_norm': '0.2867', 'learning_rate': '4.996e-05', 'epoch': '0.002222'}
{'loss': '0.2805', 'grad_norm': '0.4448', 'learning_rate': '4.996e-05', 'epoch': '0.002593'}
{'loss': '0.2696', 'grad_norm': '0.4234', 'learning_rate': '4.995e-05', 'epoch': '0.002963'}
{'loss': '0.2412', 'grad_norm': '0.2979', 'learning_rate': '4.995e-05', 'epoch': '0.003333'}
{'loss': '0.2537', 'grad_norm': '0.4276', 'learning_rate': '4.994e-05', 'epoch': '0.003704'}
{'loss': '0.2565', 'grad_norm': '0.2578', 'learning_rate': '4.993e-05', 'epoch': '0.004074'}
{'loss': '0.2629', 'grad_norm': '0.2439', 'learning_rate': '4.993e-05', 'epoch': '0.004444'}
{'loss': '0.2772', 'grad_norm': '0.2303', 'learning_rate': '4.992e-05', 'epoch': '0.004815'}
{'loss': '0.275', 'grad_norm': '0.2993', 'learning_rate': '4.991e-05', 'epoch': '0.005185'}
{'loss': '0.277', 'grad_norm': '0.1902', 'learning_rate': '4.991e-05', 'epoch': '0.005556'}
{'loss': '0.2505', 'grad_norm': '0.2145', 'learning_rate': '4.99e-05', 'epoch': '0.005926'}
{'loss': '0.2653', 'grad_norm': '0.3984', 'learning_rate': '4.99e-05', 'epoch': '0.006296'}
{'loss': '0.2546', 'grad_norm': '0.25', 'learning_rate': '4.989e-05', 'epoch': '0.006667'}
